State,Year,Source,Total
Illinois,2013,Biomass,135697.0
Illinois,2013,Coal,1026925.0
Illinois,2013,Elec,483838.0
Illinois,2013,FossFuel,3266060.0
Illinois,2013,Geo,2042.0
Illinois,2013,Hydro,1148.0
Illinois,2013,NatGas,1073734.0
Illinois,2013,LPG,78680.0
Illinois,2014,Biomass,138402.0
Illinois,2014,Coal,1017855.0
Illinois,2014,Elec,482935.0
Illinois,2014,FossFuel,3304158.0
Illinois,2014,Geo,2042.0
Illinois,2014,Hydro,1258.0
Illinois,2014,NatGas,1116417.0
Illinois,2014,LPG,67730.0
Indiana,2010,Biomass,98571.0
Indiana,2010,Coal,1449371.0
Indiana,2010,Elec,361653.0
Indiana,2010,FossFuel,2770123.0
Indiana,2010,Geo,4408.0
Indiana,2010,Hydro,4426.0
Indiana,2010,NatGas,580752.0
Indiana,2010,LPG,25691.0
Indiana,2011,Biomass,105527.0
Indiana,2011,Coal,1333442.0
Indiana,2011,Elec,361051.0
Indiana,2011,FossFuel,2712351.0
Indiana,2011,Geo,4499.0
Indiana,2011,Hydro,3972.0
Indiana,2011,NatGas,638237.0
Indiana,2011,LPG,25085.0
Indiana,2012,Biomass,103946.0
Indiana,2012,Coal,1193465.0
Indiana,2012,Elec,358852.0
Indiana,2012,FossFuel,2562415.0
Indiana,2012,Geo,4647.0
Indiana,2012,Hydro,4125.0
Indiana,2012,NatGas,657719.0
Indiana,2012,LPG,20584.0
Indiana,2013,Biomass,108119.0
Indiana,2013,Coal,1198611.0
Indiana,2013,Elec,359923.0
Indiana,2013,FossFuel,2632450.0
Indiana,2013,Geo,4647.0
Indiana,2013,Hydro,3692.0
Indiana,2013,NatGas,682842.0
Indiana,2013,LPG,25008.0
Indiana,2014,Biomass,112781.0
Indiana,2014,Coal,1221492.0
Indiana,2014,Elec,364888.0
Indiana,2014,FossFuel,2709827.0
Indiana,2014,Geo,4647.0
Indiana,2014,Hydro,3530.0
Indiana,2014,NatGas,727758.0
Indiana,2014,LPG,22520.0
Iowa,2010,Biomass,239261.0
Iowa,2010,Coal,493794.0
Iowa,2010,Elec,155059.0
Iowa,2010,FossFuel,1187456.0
Iowa,2010,Geo,1170.0
Iowa,2010,Hydro,9250.0
Iowa,2010,NatGas,312941.0
Iowa,2010,LPG,66062.0
Iowa,2011,Biomass,231401.0
Iowa,2011,Coal,463138.0
Iowa,2011,Elec,155774.0
Iowa,2011,FossFuel,1155743.0
Iowa,2011,Geo,1359.0
Iowa,2011,Hydro,8991.0
Iowa,2011,NatGas,309672.0
Iowa,2011,LPG,64049.0
Iowa,2012,Biomass,216577.0
Iowa,2012,Coal,422595.0
Iowa,2012,Elec,155959.0
Iowa,2012,FossFuel,1092732.0
Iowa,2012,Geo,1281.0
Iowa,2012,Hydro,7291.0
Iowa,2012,NatGas,299315.0
Iowa,2012,LPG,62281.0
Iowa,2013,Biomass,227495.0
Iowa,2013,Coal,402402.0
Iowa,2013,Elec,159358.0
Iowa,2013,FossFuel,1125533.0
Iowa,2013,Geo,1281.0
Iowa,2013,Hydro,7147.0
Iowa,2013,NatGas,331358.0
Iowa,2013,LPG,70963.0
Iowa,2014,Biomass,241138.0
Iowa,2014,Coal,401151.0
Iowa,2014,Elec,161053.0
Iowa,2014,FossFuel,1137920.0
Iowa,2014,Geo,1281.0
Iowa,2014,Hydro,8356.0
Iowa,2014,NatGas,342431.0
Iowa,2014,LPG,68131.0
Kansas,2010,Biomass,39348.0
Kansas,2010,Coal,359908.0
Kansas,2010,Elec,137915.0
Kansas,2010,FossFuel,997849.0
Kansas,2010,Geo,906.0
Kansas,2010,Hydro,129.0
Kansas,2010,NatGas,280413.0
Kansas,2010,LPG,12277.0
Kansas,2011,Biomass,41131.0
Kansas,2011,Coal,346521.0
Kansas,2011,Elec,139074.0
Kansas,2011,FossFuel,970721.0
Kansas,2011,Geo,1005.0
Kansas,2011,Hydro,143.0
Kansas,2011,NatGas,285318.0
Kansas,2011,LPG,11583.0
Kansas,2012,Biomass,38492.0
Kansas,2012,Coal,307585.0
Kansas,2012,Elec,137481.0
Kansas,2012,FossFuel,913457.0
Kansas,2012,Geo,974.0
Kansas,2012,Hydro,99.0
Kansas,2012,NatGas,268086.0
Kansas,2012,LPG,9589.0
Kansas,2013,Biomass,40855.0
Kansas,2013,Coal,326817.0
Kansas,2013,Elec,135959.0
Kansas,2013,FossFuel,963626.0
Kansas,2013,Geo,974.0
Kansas,2013,Hydro,139.0
Kansas,2013,NatGas,288840.0
Kansas,2013,LPG,11228.0
Kansas,2014,Biomass,45862.0
Kansas,2014,Coal,316572.0
Kansas,2014,Elec,138396.0
Kansas,2014,FossFuel,965093.0
Kansas,2014,Geo,974.0
Kansas,2014,Hydro,154.0
Kansas,2014,NatGas,289697.0
Kansas,2014,LPG,11283.0
Kentucky,2010,Biomass,51017.0
Kentucky,2010,Coal,1009823.0
Kentucky,2010,Elec,319259.0
Kentucky,2010,FossFuel,1874296.0
Kentucky,2010,Geo,2544.0
Kentucky,2010,Hydro,25173.0
Kentucky,2010,NatGas,239062.0
Kentucky,2010,LPG,33939.0
Kentucky,2011,Biomass,51474.0
Kentucky,2011,Coal,1010623.0
Kentucky,2011,Elec,305505.0
Kentucky,2011,FossFuel,1846216.0
Kentucky,2011,Geo,2700.0
Kentucky,2011,Hydro,28850.0
Kentucky,2011,NatGas,229056.0
Kentucky,2011,LPG,32032.0
Kentucky,2012,Biomass,49735.0
Kentucky,2012,Coal,909705.0
Kentucky,2012,Elec,303833.0
Kentucky,2012,FossFuel,1735259.0
Kentucky,2012,Geo,2712.0
Kentucky,2012,Hydro,22475.0
Kentucky,2012,NatGas,232702.0
Kentucky,2012,LPG,32072.0
Kentucky,2013,Biomass,55168.0
Kentucky,2013,Coal,914774.0
Kentucky,2013,Elec,289214.0
Kentucky,2013,FossFuel,1737960.0
Kentucky,2013,Geo,2712.0
Kentucky,2013,Hydro,31249.0
Kentucky,2013,NatGas,236423.0
Kentucky,2013,LPG,48525.0
Kentucky,2014,Biomass,57195.0
Kentucky,2014,Coal,913452.0
Kentucky,2014,Elec,268998.0
Kentucky,2014,FossFuel,1754132.0
Kentucky,2014,Geo,2712.0
Kentucky,2014,Hydro,29895.0
Kentucky,2014,NatGas,261233.0
Kentucky,2014,LPG,36157.0
Louisiana,2010,Biomass,112227.0
Louisiana,2010,Coal,259750.0
Louisiana,2010,Elec,290292.0
Louisiana,2010,FossFuel,3974821.0
Louisiana,2010,Geo,1708.0
Louisiana,2010,Hydro,10817.0
