State,Year,TotalC,TotalP,TotalE,TotalPrice,BiomassC,CoalC,CoalP,CoalE,CoalPrice,ElecC,ElecE,ElecPrice,FossFuelC,GeoC,GeoP,HydroC,HydroP,NatGasC,NatGasE,NatGasPrice,LPGC,LPGE,LPGPrice,GDP,POPESTIMATE
Indiana,2010,2863396.0,987568.0,27475.6,14.89,98571.0,1449371.0,790889.0,3786.7,2.61,361653.0,8035.5,22.55,2770123.0,4408.0,0.0,4426.0,454.0,580752.0,3583.0,6.51,25691.0,570.4,22.38,283111.5,6490308.0
Indiana,2011,2847188.0,1062319.0,32483.4,17.72,105527.0,1333442.0,840986.0,4157.2,3.12,361051.0,8373.1,23.55,2712351.0,4499.0,0.0,3972.0,409.0,638237.0,4220.2,6.99,25085.0,590.0,23.61,291889.75,6516560.0
Indiana,2012,2770158.0,1046014.0,32334.8,18.07,103946.0,1193465.0,826842.0,3883.1,3.25,358852.0,8611.0,24.4,2562415.0,4647.0,0.0,4125.0,434.0,657719.0,3874.9,6.2,20584.0,471.8,23.02,299906.0,6537632.0
Indiana,2013,2894764.0,1106441.0,33414.8,17.86,108119.0,1198611.0,883260.0,3568.9,2.98,359923.0,9112.0,25.65,2632450.0,4647.0,0.0,3692.0,387.0,682842.0,4405.2,6.69,25008.0,615.3,24.74,310669.25,6570713.0
Indiana,2014,2931630.0,1123098.0,34151.9,17.94,112781.0,1221492.0,886370.0,3513.9,2.88,364888.0,9583.6,26.63,2709827.0,4647.0,0.0,3530.0,371.0,727758.0,5266.2,7.49,22520.0,621.2,28.5,324289.0,6596855.0
Iowa,2010,1499729.0,673102.0,14967.3,15.68,239261.0,493794.0,0.0,746.8,1.51,155059.0,3479.7,22.44,1187456.0,1170.0,0.0,9250.0,948.0,312941.0,2150.7,7.13,66062.0,1390.7,21.05,141382.5,3050295.0
Iowa,2011,1498973.0,689146.0,17308.3,18.18,231401.0,463138.0,0.0,750.2,1.62,155774.0,3451.3,22.16,1155743.0,1359.0,0.0,8991.0,925.0,309672.0,2052.8,6.87,64049.0,1559.8,24.35,149402.0,3064904.0
Iowa,2012,1440053.0,677875.0,16583.3,18.11,216577.0,422595.0,0.0,703.5,1.66,155959.0,3524.3,22.6,1092732.0,1281.0,0.0,7291.0,766.0,299315.0,1697.7,5.87,62281.0,1277.6,20.51,159095.75,3075935.0
Iowa,2013,1518870.0,730473.0,17434.4,17.92,227495.0,402402.0,0.0,736.5,1.83,159358.0,3769.0,23.65,1125533.0,1281.0,0.0,7147.0,749.0,331358.0,2045.9,6.4,70963.0,1558.7,21.97,163495.25,3092341.0
Iowa,2014,1541900.0,757014.0,18021.8,18.24,241138.0,401151.0,0.0,722.7,1.8,161053.0,3847.3,23.89,1137920.0,1281.0,0.0,8356.0,879.0,342431.0,2578.6,7.83,68131.0,1705.3,25.03,170715.0,3107126.0
Kansas,2010,1117631.0,812830.0,11846.4,17.7,39348.0,359908.0,3069.0,546.4,1.52,137915.0,3351.6,24.52,997849.0,906.0,0.0,129.0,13.0,280413.0,1705.6,7.4,12277.0,248.4,20.32,128589.0,2858949.0
Kansas,2011,1104843.0,781704.0,13565.2,20.64,41131.0,346521.0,840.0,608.8,1.76,139074.0,3597.9,26.11,970721.0,1005.0,0.0,143.0,15.0,285318.0,1631.6,6.89,11583.0,276.4,23.94,137654.25,2869965.0
Kansas,2012,1075435.0,793080.0,13438.2,21.28,38492.0,307585.0,388.0,566.0,1.84,137481.0,3733.1,27.42,913457.0,974.0,0.0,99.0,10.0,268086.0,1248.6,5.72,9589.0,213.9,22.37,141600.25,2885966.0
Kansas,2013,1105160.0,830704.0,14104.0,21.42,40855.0,326817.0,541.0,580.8,1.78,135959.0,3790.1,28.68,963626.0,974.0,0.0,139.0,15.0,288840.0,1569.1,6.97,11228.0,267.3,24.04,142773.5,2895801.0
Kansas,2014,1132354.0,880650.0,14646.3,21.46,45862.0,316572.0,1474.0,568.5,1.8,138396.0,4032.6,29.97,965093.0,974.0,0.0,154.0,16.0,289697.0,1754.8,7.73,11283.0,310.8,27.54,146562.0,2904021.0
Kentucky,2010,1978527.0,2781466.0,19987.7,17.16,51017.0,1009823.0,2556093.0,2382.9,2.36,319259.0,6223.8,19.81,1874296.0,2544.0,0.0,25173.0,2580.0,239062.0,1497.9,7.13,33939.0,754.8,22.81,165787.0,4349838.0
