State,Year,Source,Total
Oklahoma,2014,Geo,0.0
Oklahoma,2014,Hydro,1428.0
Oklahoma,2014,GD,190170.5
Oregon,2010,Coal,0.0
Oregon,2010,Geo,0.0
Oregon,2010,Hydro,30542.0
Oregon,2010,GD,191393.0
Oregon,2011,Coal,0.0
Oregon,2011,Geo,0.0
Oregon,2011,Hydro,42315.0
Oregon,2011,GD,200267.5
Oregon,2012,Coal,0.0
Oregon,2012,Geo,26.0
Oregon,2012,Hydro,39410.0
Oregon,2012,GD,196982.25
Oregon,2013,Coal,0.0
Oregon,2013,Geo,165.0
Oregon,2013,Hydro,33098.0
Oregon,2013,GD,197732.75
Oregon,2014,Coal,0.0
Oregon,2014,Geo,183.0
Oregon,2014,Hydro,35262.0
Oregon,2014,GD,203328.0
Pennsylvania,2010,Coal,1485775.0
Pennsylvania,2010,Geo,0.0
Pennsylvania,2010,Hydro,2332.0
Pennsylvania,2010,GD,588275.75
Pennsylvania,2011,Coal,1511491.0
Pennsylvania,2011,Geo,0.0
Pennsylvania,2011,Hydro,3217.0
Pennsylvania,2011,GD,607403.25
Pennsylvania,2012,Coal,1390644.0
Pennsylvania,2012,Geo,0.0
Pennsylvania,2012,Hydro,2242.0
Pennsylvania,2012,GD,626315.5
Pennsylvania,2013,Coal,1379262.0
Pennsylvania,2013,Geo,0.0
Pennsylvania,2013,Hydro,2525.0
Pennsylvania,2013,GD,645382.5
Pennsylvania,2014,Coal,1566449.0
Pennsylvania,2014,Geo,0.0
Pennsylvania,2014,Hydro,2641.0
Pennsylvania,2014,GD,672413.25
Rhode Island,2010,Coal,0.0
Rhode Island,2010,Geo,0.0
Rhode Island,2010,Hydro,4.0
Rhode Island,2010,GD,49328.75
Rhode Island,2011,Coal,0.0
Rhode Island,2011,Geo,0.0
Rhode Island,2011,Hydro,7.0
Rhode Island,2011,GD,49931.25
Rhode Island,2012,Coal,0.0
Rhode Island,2012,Geo,0.0
Rhode Island,2012,Hydro,4.0
Rhode Island,2012,GD,51491.75
Rhode Island,2013,Coal,0.0
Rhode Island,2013,Geo,0.0
Rhode Island,2013,Hydro,4.0
Rhode Island,2013,GD,52808.5
Rhode Island,2014,Coal,0.0
Rhode Island,2014,Geo,0.0
Rhode Island,2014,Hydro,4.0
Rhode Island,2014,GD,55098.25
South Carolina,2010,Coal,0.0
South Carolina,2010,Geo,0.0
South Carolina,2010,Hydro,2376.0
South Carolina,2010,GD,165237.0
South Carolina,2011,Coal,0.0
South Carolina,2011,Geo,0.0
South Carolina,2011,Hydro,1554.0
South Carolina,2011,GD,171152.75
South Carolina,2012,Coal,0.0
South Carolina,2012,Geo,0.0
South Carolina,2012,Hydro,1420.0
South Carolina,2012,GD,175434.0
South Carolina,2013,Coal,0.0
South Carolina,2013,Geo,0.0
South Carolina,2013,Hydro,3160.0
South Carolina,2013,GD,180855.75
South Carolina,2014,Coal,0.0
South Carolina,2014,Geo,0.0
South Carolina,2014,Hydro,2569.0
South Carolina,2014,GD,189655.5
South Dakota,2010,Coal,0.0
South Dakota,2010,Geo,0.0
South Dakota,2010,Hydro,5239.0
South Dakota,2010,GD,38043.75
South Dakota,2011,Coal,0.0
South Dakota,2011,Geo,0.0
South Dakota,2011,Hydro,6608.0
South Dakota,2011,GD,42453.25
South Dakota,2012,Coal,0.0
South Dakota,2012,Geo,0.0
South Dakota,2012,Hydro,5981.0
South Dakota,2012,GD,43258.5
South Dakota,2013,Coal,0.0
South Dakota,2013,Geo,0.0
South Dakota,2013,Hydro,4063.0
South Dakota,2013,GD,44909.5
South Dakota,2014,Coal,0.0
South Dakota,2014,Geo,0.0
South Dakota,2014,Hydro,5498.0
South Dakota,2014,GD,45600.0
Tennessee,2010,Coal,45030.0
Tennessee,2010,Geo,0.0
